Comp_OID,Oid_Type,Symbolic_name,CodingSystemName
2.16.840.1.113883.3.1965,3,mhdefiance,Mercy Defiance Hospital 
2.16.840.1.113883.3.1966,3,mhtiffin,Mercy Tiffin Hospital 
2.16.840.1.113883.3.1967,3,mhwillard,Mercy Willard Hospital 
2.16.840.1.113883.3.1968,3,erpupoDeloitte,Erik Pupo Deloitte
2.16.840.1.113883.17.90,17,emc,CCD OID For Enloe Medical Center
2.16.840.1.113883.3.1969,3,jmmdca,John Muir Health
2.16.840.1.113883.3.1970,3,healthcurrent,Health Current
2.16.840.1.113883.4.561,3,nrmc-hl7,Nevada Regional Medical Center
2.16.840.1.113883.17.91,17,org-NBHH,North Big Horn Hospital
2.16.840.1.113883.17.92,17,org-lhc,Livingston HealthCare
2.16.840.1.113883.3.1971,3,sigmacare,SigmaCare OID Root
2.16.840.1.113883.3.1972,3,hdc-May-2012,HealthDataConnect
2.16.840.1.113883.3.1973,3,altoonaregional,Altoona Regional Health System
2.16.840.1.113883.3.629.14.56,14,practice-KentuckyFootAnkleSpecialist,Kentucky Foot & Ankle Specialist
2.16.840.1.113883.3.1974,3,mdpnp-NHIN,MD PnP
2.16.840.1.113883.3.629.14.57,14,practice-Andreas,"Brian Andreas, M.D."
2.16.840.1.113883.3.629.14.58,14,practice-Pica,"Susanne Pica, M.D."
2.16.840.1.113883.3.629.14.59,14,practice-PercyThomasMD,"Thomas Percy M.D., Inc."
2.16.840.1.113883.3.629.14.60,14,practice-MadisonPediatrics,Madison Pediatric Associates
2.16.840.1.113883.3.629.14.61,14,practice-EganClinic,"Egan Clinic, PSC"
2.16.840.1.113883.3.1975,3,swbhh,Southwest Brooklyn Health Home
2.16.840.1.113883.3.1976,3,healthprofusion,HealthProFusion.com
2.16.840.1.113883.3.1977,3,healthinsights,Health Insights Co.
2.16.840.1.113883.3.1978,3,healthinsightslab,Lab Health Insights
2.16.840.1.113883.3.1979,3,brmh1,"Bluegrass Regional MHMR Board, Inc."
2.16.840.1.113883.3.1980,3,tgi,tgi Software
2.16.840.1.113883.3.1982,3,ghha,Greater Hazleton Health Alliance
2.16.840.1.113883.3.1983,3,bcec,Brown County Eye Care Center
2.16.840.1.113883.3.1984,3,abhs,Alexian Brothers Health System
2.16.840.1.113883.4.562,4,vce,Vista Cloud EHR
2.16.840.1.113883.3.1985,3,mrmclorain,Mercy Regional Medical Center
2.16.840.1.113883.3.1986,3,mahlorain,Mercy Allen Hospital
2.16.840.1.113883.3.1987,3,stvnks,Stevens County Hospital Kansas
2.16.840.1.113883.3.1070.5030,17,mckesson-fusion-5030,mckesson-fusion-5030
2.16.840.1.113883.3.1988,3,gwccalhoun,Genesis Women's Center
2.16.840.1.113883.3.1989,3,nwgmgcalhoun,Northwest Georgia Medical Group
2.16.840.1.113883.3.1990,3,calhounobgyn,Calhoun OB/GYN Associates
2.16.840.1.113883.3.1991,3,vbmc,Vassar Brothers Medical Center
2.16.840.1.113883.3.1992,3,ndh,Northern Dutchess Hospital
2.16.840.1.113883.3.1993,3,phc,Putnam Hospital
2.16.840.1.113883.3.1994,3,oberd,"Universal Research Solutions, LCC - OBERD"
2.16.840.1.113883.3.1070.5027,17,mckesson-fusion-5027,mckesson-fusion-5027
2.16.840.1.113883.3.1995,3,inmediata,Inmediata
2.16.840.1.113883.3.1996,3,sh,Sutter Health
2.16.840.1.113883.3.1997,3,mmkoid,McPherson Hospital OID
2.16.840.1.113883.4.563,3,mongeneral,Monongalia General Hospital
2.16.840.1.113883.4.564,4,acs-statelabs,State lab information in the CCD
2.16.840.1.113883.4.565,3,schuylerhospital,"Schuyler Hospital, Inc"
2.16.840.1.113883.3.1998,3,gpjod-FTE,"Gregory P. Jellenek, OD & Associates, PC"
2.16.840.1.113883.3.1070.5026,17,mcKesson-fusion-5026,mcKesson-fusion-5026
2.16.840.1.113883.3.1999,3,mi-vch,Via Christi Health
2.16.840.1.113883.3.2000,3,quadax,Quadax
2.16.840.1.113883.3.2001,3,e-doi,"Eye-do Optical, Inc"
2.16.840.1.113883.3.2002,3,shs-1,Shore Health System
2.16.840.1.113883.3.2003,3,medforce,medforce Prod
2.16.840.1.113883.3.2004,3,dcmc,Door County Medical Center
2.16.840.1.113883.3.2005,3,hangen,Hanover Hospital
2.16.840.1.113883.4.566,4,shcpcc,Syringa Hospital Primary Care Clinics to HL7
2.16.840.1.113883.3.2006,3,mms,Memorial Hospital Inc.
2.16.840.1.113883.4.567,3,wmWBackusHosp,The William W. Backus Hospital
2.16.840.1.113883.3.2007,3,pathlabs,"Pathology Laboratories, Inc."
2.16.840.1.113883.3.1070.5031,17,mckesson-fusion-5031,mckesson-fusion-5031
2.16.840.1.113883.3.1070.5033,17,mckesson-fusion-5033,mckesson-fusion-5033
2.16.840.1.113883.3.1070.5029,17,mckesson-fusion-5029,mckesson-fusion-5029
2.16.840.1.113883.3.2008,3,bvhs-02,Bluffton Hospital
2.16.840.1.113883.3.2009,3,mchsw,Mayo Clinic Health System in Waycross
2.16.840.1.113883.3.2010,3,healthwyse,HealthWyse Type 3 Organizational OID
2.16.840.1.113883.3.2010.1,14,healthwyse-org-reg-authority,Organizational registration authority for HealthWyse
2.16.840.1.113883.3.2010.2,14,cda-doc-level-templates,Root of HealthWyse CDA Document-Level Templates
2.16.840.1.113883.3.2010.2.1,17,cda-caresummaryreport-diabetes,Document-Level Template for Diabetes Care Summary Report
2.16.840.1.113883.3.2011,3,oid-UCHS,Upper Chesapeake Health
2.16.840.1.113883.3.2012,3,cmmn-oh,Community Memorial Hospital OID Root
2.16.840.1.113883.3.2013,3,drFirstOID,"DrFirst, Inc."
2.16.840.1.113883.10.20.26,10,vitalStatisticsReporting,Vital Statistics Reporting Template Group
2.16.840.1.113883.3.2014,3,visInterOpProd,Visonex Production Connection
2.16.840.1.113883.3.2015,3,visInterOpDev,Visonex Interoperability Development
2.16.840.1.113883.3.2016,3,visInterOpStage,Visonex Interoperability Staging
2.16.840.1.113883.3.2017,3,dod-DMDC,OID root for DMDC
2.16.840.1.113883.3.2018,3,wag,Walgreens
2.16.840.1.113883.3.2019,3,bluemark,Bluemark LLC
2.16.840.1.113883.3.2020,3,brhs,CHI St Luke's Health Brazosport
2.16.840.1.113883.3.2021,3,scdy,"Deyangshi of Sichuan, China"
2.16.840.1.113883.3.2022,3,phprac,Palmetto Health Physician Practices
2.16.840.1.113883.3.2023,3,phcs-oid,Princeton HealthCare System OID
2.16.840.1.113883.3.2024,3,mrcod,"Mark R Christensen, O.D., Inc., A Professional Optometric Corporation"
2.16.840.1.113883.17.93,17,hahInterface1,Hillsboro Area Hospital Interface 1
2.16.840.1.113883.3.2025,3,hvci,Health Ventures of Central Iowa
2.16.840.1.113883.3.2026,3,ffcn,ffcn
2.16.840.1.113883.3.2027,3,slch,St. Luke's Cornwall Hospital
2.16.840.1.113883.3.2028,3,connally-mmc,Connally Memorial Medical Center
2.16.840.1.113883.4.568,3,rmhHealthcare,Sentara RMH Medical Center
2.16.840.1.113883.3.2029,3,elseviergoldstandard,Elsevier/Gold Standard
2.16.840.1.113883.3.2030,3,th-nd,TRINITY HEALTH NORTH DAKOTA 
2.16.840.1.113883.17.94,17,uahs,Upper Allegheny Health System
2.16.840.1.113883.3.2031,3,nlm-odpc,NICOL L MAYFIELD OD PC
2.16.840.1.113883.3.2032,3,cvmc,Chino Valley Medical Center
2.16.840.1.113883.3.2033,3,mhmc,Montclair Hospital Medical Center
2.16.840.1.113883.3.2034,3,sdch,San Dimas Community Hospital
2.16.840.1.113883.3.2035,3,pssi,OMNI Medical Group
2.16.840.1.113883.3.2036,3,sjp,"St Johns Physicians, Inc"
2.16.840.1.113883.17.95,17,denver-health,Denver Health & Hospitals Authority
2.16.840.1.113883.3.2037,3,ucc,St. John Urgent Care Centers
2.16.840.1.113883.3.2037.1,3,uccutica,Urgent Care Utica
2.16.840.1.113883.3.2035.1,3,omniba,OMNI Broken Arrow
2.16.840.1.113883.3.2038,3,mmx,Metametrix Clinical Laboratory
2.16.840.1.113883.3.2035.2,3,omniclaremore,OMNI Claremore
2.16.840.1.113883.3.2035.3,3,omnilowerlevel,OMNI Lower Level
2.16.840.1.113883.3.2035.4,3,omnioologah,OMNI OOLOGAH
2.16.840.1.113883.3.2037.2,3,urgentcaresandsprings,URGENT CARE SAND SPRINGS 
2.16.840.1.113883.3.2037.3,3,uccsouth,Urgent Care South
2.16.840.1.113883.3.2035.5,3,omniowasso,OMNI OWASSO
2.16.840.1.113883.3.2035.6,3,omniowassomob,OMNI Owasso MOB
2.16.840.1.113883.3.2035.7,3,omnisandsprings,OMNI Sand Springs
2.16.840.1.113883.3.2035.8,3,omnisapulpa,OMNI Sapulpa
2.16.840.1.113883.3.2035.9,3,omniskiatook,OMNI Skiatook
2.16.840.1.113883.3.2035.10,3,omnisouthharvard,OMNI South Harvard
2.16.840.1.113883.3.2035.11,3,omnisouth,OMNI South Memorial
2.16.840.1.113883.3.2035.12,3,omni200,OMNI Suite 200
2.16.840.1.113883.3.2035.13,3,omni402,OMNI Suite 402
2.16.840.1.113883.3.2035.14,3,omni404,OMNI 404
2.16.840.1.113883.3.2035.15,3,omni700,OMNI 700
2.16.840.1.113883.3.2035.16,3,mac,Medical Access Clinic
2.16.840.1.113883.3.2036.1,3,sjpcardiosurgery,SJP Cardiovascular Surgery 
2.16.840.1.113883.3.2036.2,3,sjhicc,St. John Heart Institute Cardiovascular Consultants 
2.16.840.1.113883.3.2039,3,kmchi,Kuakini Medical Center
2.16.840.1.113883.3.2040,3,showa-OID,Skyline Hospital OID
2.16.840.1.113883.3.2041,3,connect-securecaretech,Connect-Securecaretech
2.16.840.1.113883.3.2042,3,sjh,St. Joseph Health
2.16.840.1.113883.3.2043,3,pssiemrapp,PSSI EMR Application
2.16.840.1.113883.3.2044,3,eyepifany,3D Optometry P.C.
2.16.840.1.113883.3.2045,3,uspi12,United Surgical Partners
2.16.840.1.113883.3.2036.3,3,sjhicc400,St. John Heart Institute Cardiovascular Consultants St. 500
2.16.840.1.113883.3.2036.4,3,sjhiccba,St. John Heart Institute Cardiovascular Consultants - BA
2.16.840.1.113883.3.2036.5,3,sjhicccv,St. John Heart Institute Cardiovascular Consultants - CV
2.16.840.1.113883.3.2036.6,3,sjhiccmi,St. John Heart Institute Cardiovascular Consultants - MI
2.16.840.1.113883.13.221,13,jhc-elr-1,Jackson Hospitsal ELR
2.16.840.1.113883.4.569,3,krmc,Kalispell Regional Medical Center
2.16.840.1.113883.3.2036.7,3,sjhiccow,St. John Heart Institute Cardiovascular Consultants - OW
2.16.840.1.113883.3.2036.8,3,sjhiccpr,St. John Heart Institute Cardiovascular Consultants - PR
2.16.840.1.113883.3.2036.9,3,sjhfc,St. John Heart Institute - Heart Failure Clinic
2.16.840.1.113883.3.2036.10,3,sjhrs,St. John Heart Institute - Heart Rhythm Services
2.16.840.1.113883.13.222,13,multum-drug-id,Multum Generic Drug Identifier
2.16.840.1.113883.13.223,13,multum-allergy-category-id,Multum Drug Allergy Category
2.16.840.1.113883.13.224,13,multum-drug-synonym-id,Multum Drug Synonym Identifier
2.16.840.1.113883.13.225,13,multum-main-drug-code,Multum Main Drug Code
2.16.840.1.113883.3.2046,3,snl,Beyond Eye Care PLLC
2.16.840.1.113883.3.2047,3,stlukes-stl,St. Luke's Episcopal Presbyterian Hosptial
2.16.840.1.113883.4.570,3,graham,Graham Hospital Association
2.16.840.1.113883.3.2048,3,stpsNextGen,Saint_Thomas_Health_Physician_Services
2.16.840.1.113883.4.571,4,icnet,ICNet International Ltd.
2.16.840.1.113883.3.2049,3,bchc-oid,Buchanan County Health Center
2.16.840.1.113883.3.2050,3,cigna,Cigna
2.16.840.1.113883.3.2051,3,halpern,"Halpern Eye Associates, PA"
2.16.840.1.113883.3.2052,3,gwu,GWU - OID
2.16.840.1.113883.3.2053,3,spv,SPV OID
2.16.840.1.113883.3.2054,3,surescripts,"Surescripts, L.L.C"
2.16.840.1.113883.3.2055,3,rkdl-tx,Little River Healthcare OID Root
1.3.6.1.4.1.40157,3,medicalgorithmics,MedicAlgorithmics
2.16.840.1.113883.3.2056,3,boxeelab,Boxeelab LLC
2.16.840.1.113883.3.1355.50.1,4,ahwest-amch-mrn,Adventist Medical Center - Hanford (AMCH) MRN
2.16.840.1.113883.3.1355.50.2,4,ahwest-amch-account,Adventist Medical Center - Hanford (AMCH) Account Number
2.16.840.1.113883.3.1355.50.3,4,ahwest-amch-doctor,Adventist Medical Center - Hanford (AMCH) Doctor Number
2.16.840.1.113883.3.1355.50.4,4,ahwest-amch-uref,Adventist Medical Center - Hanford (AMCH) Unit Reference Number
2.16.840.1.113883.3.1355.56,4,ahwest-cvgh,Central Valley General Hospital(CVGH)
2.16.840.1.113883.3.1355.56.1,4,ahwest-cvgh-mrn,Central Valley General Hospital (CVGH) MRN
2.16.840.1.113883.3.1355.56.2,4,ahwest-cvgh-account,Central Valley General Hospital (CVGH) Account Number
2.16.840.1.113883.3.1355.56.3,4,ahwest-cvgh-doctor,Central Valley General Hospital (CVGH) Doctor Number
2.16.840.1.113883.3.1355.56.4,4,ahwest-cvgh-uref,Central Valley General Hospital (CVGH) Unit Reference Number
1.2.36.129710685.3,15,hcs,HIE Code System
1.2.36.129710685.3.1,15,hcsbp,HIE Code System BP
1.2.36.129710685.3.1.1,15,hcsbps,HIE Code System BP Substance
1.2.36.129710685.3.1.2,15,hcsbpr,HIE Code System BP Reaction
1.2.36.129710685.3.1.3,15,hcsbpdn,HIE Code System BP Drug Name
1.2.36.129710685.3.1.4,15,hcsbpv,HIE Code System BP Vaccine
2.16.840.1.113883.3.2057,3,cmc,Cumberland Medical Center
2.16.840.1.113883.13.226,13,fDACVMInternalPPME,FDA CVM Internal Product Problem/Medication Error Terms
2.16.840.1.113883.13.227,13,fDACVMInternalAE,FDA CVM Internal Adverse Event Terms
2.16.840.1.113883.3.221.5,6,SOPT,Source of Payment Typology (SOPT)
2.16.840.1.113883.3.2058,3,wlpCCA,WellPoint Clinical Care Advance
2.16.840.1.113883.3.2059,3,paidvh,Desert Valley Hospital
2.16.840.1.113883.3.1070.2,17,mckesson-fusion-2,mckesson-fusion-2
2.16.840.1.113883.3.1070.262,17,mckesson-fusion-262,mckesson-fusion-262
2.16.840.1.113883.4.572,4,medicareHIC,Medicare Health Insurance Claim Number (HIC)
2.16.840.1.113883.3.2060,3,chh,Centennial Hills Hospital Medical Center OID
2.16.840.1.113883.3.2061,3,dsh,Desert Springs Hospital Medical Center OID
2.16.840.1.113883.3.1070.5037,17,mckesson-fusion-5037,mckesson-fusion-5037
2.16.840.1.113883.3.2062,3,sumHMC,Summerlin Hospital Medical Center OID
2.16.840.1.113883.3.2063,3,vhm,Valley Hospital Medical Center OID
1.2.36.1.2001.1005.18,15,unit-record-number,Unit Record Number
2.16.840.1.113883.9.26,9,lriAckComponentR1,Laboratory Results Interface Acknowledgement Component Release 1
2.16.840.1.113883.3.2064,3,continuityHealthSol,Continuity Health Solutions OID Root
2.16.840.1.113883.3.2065,3,nmh,NorthernMontanaHospitalProviders
2.16.840.1.113883.3.567.12.3,6,fdbRoutedMedID,fdb Routed Medication ID
1.2.36.1.2001.1005.19,3,ntDepartmentOfHealth,NT Department Of Health
1.2.36.1.2001.1005.19.1,13,hcidNTDepartmentOfHealth,Health Connect Identifier for NT Department of Health
1.2.36.1.2001.1005.19.2,13,hrnNTDepartmentOfHealth,Hospital Record Number for NT Department of Health
1.2.36.1.2001.1005.20,15,medicationsAtAdmission,Medications at Admission
2.16.840.1.113883.3.2066,3,kumcri,"The University of Kansas Medical Center Research Institute, Inc."
2.16.840.1.113883.3.2067,3,chwc,Community Hospitals & Wellness Centers
2.16.840.1.113883.3.2068,3,uthsct,The University of Texas Health Science Center at Tyler
2.16.840.1.113883.3.1070.5043,17,mckesson-fusion-5043,mckesson-fusion-5043
2.16.840.1.113883.3.2069,3,bhc,BayCare HomeCare
2.16.840.1.113883.3.2070,3,lec,Annandale Eye Clinic
2.16.840.1.113883.3.2071,3,saml123,SAML
2.16.840.1.113883.3.2072,3,slPMC4600,St Luke's Patients Medical Center
2.16.840.1.113883.3.1871.3.1,4,sah,SSM St Anthony's Hospital
2.16.840.1.113883.3.2073,3,ahl,Alice Hyde Medical Center Continuity Care Document 
2.16.840.1.113883.3.1871.3.2,4,sabh,SSM St Anthony Behavioral Health
2.16.840.1.113883.3.1871.3.3,4,sas,SSM St Anthony's Hospital South at Pennsylvania
2.16.840.1.113883.3.1871.3.5,4,bjh,SSM Bone and Joint Hospital
2.16.840.1.113883.3.1871.3.100,4,sapofmc,SAPO Family Medical Center
2.16.840.1.113883.3.1871.3.101,4,sapoiwh,SAPO Center for Women's Health
2.16.840.1.113883.3.1871.3.102,4,saposap,SAPO St Anthony's Pediatrics
2.16.840.1.113883.3.1871.3.104,4,sapopa,SAPO Pediatric Association
2.16.840.1.113883.3.1871.3.105,4,sapocvs,SAPO Cardio Vascular Specialists
2.16.840.1.113883.3.1871.3.106,4,sapoblan,SAPO Blanchard
2.16.840.1.113883.3.1871.3.107,4,sapopsc,SAPO Pulmonary Specialty Clinic
2.16.840.1.113883.3.2074,3,federalHealthArchitecture,Federal Health Architecture
2.16.840.1.113883.9.27,9,lriNonGloballyUniqueAcknowledgementProfileR1,LRI Non Globally Unique Acknowledgement Profile Release 1
2.16.840.1.113883.9.28,9,lriGloballyUniqueAcknowledgementProfileR1,LRI Globally Unique Acknowledgement Profile Release 1
2.16.840.1.113883.6.310,6,uscic,US Census Industry Code
2.16.840.1.113883.3.1070.5035,17,mckesson-fusion-5035,mckesson-fusion-5035
2.16.840.1.113883.3.1070.5036,17,mckesson-fusion-5036,mckesson-fusion-5036
2.16.840.1.113883.3.1871.3.108,4,sapoderm,SAPO Dermatology
2.16.840.1.113883.3.1871.3.109,4,sapode,SAPO Dermatology - Enid
2.16.840.1.113883.3.1871.3.110,4,sapochc,SAPO Chesapeake Health Center
2.16.840.1.113883.3.1871.3.116,4,saposobg,SAPO SMG Ob/Gyn
2.16.840.1.113883.3.1871.3.118,4,sapofmm,SAPO Family Medicine - Midtown
2.16.840.1.113883.3.1871.3.119,4,saporh,SAPO Rheumatology
2.16.840.1.113883.3.1871.3.125,4,sapopn,SAPO Physicians North
2.16.840.1.113883.3.1871.3.126,4,sapopcp,SAPO PCP North
2.16.840.1.113883.3.1871.3.127,4,saposma,SAPO Saints Medicine Association
2.16.840.1.113883.3.1871.3.129,4,sapofmce,SAPO Family Medical Center - East
2.16.840.1.113883.3.1871.3.130,4,sapons,SAPO Neurology Specialists
2.16.840.1.113883.3.1871.3.131,4,saponsgy,SAPO Neurosurgery
2.16.840.1.113883.3.1871.3.135,4,sapomma,SAPO Metro Medical Association
2.16.840.1.113883.3.1871.3.136,4,sapopnm,SAPO PCP North - Midwest City
2.16.840.1.113883.3.1871.3.138,4,sapomcc,SAPO Mustang Comp Care
2.16.840.1.113883.3.1871.3.142,4,sapofh,SAPO Family Healthcare
2.16.840.1.113883.3.1871.3.176,4,sapohpe,SAPO Healthplex East PCP
2.16.840.1.113883.3.1871.3.177,4,sapohps,SAPO Healthplex South PCP
2.16.840.1.113883.3.1871.3.179,4,sapopms,SAPO Pain Management - Shawnee
2.16.840.1.113883.3.1871.3.921,4,afomrf,AF OMRF
2.16.840.1.113883.3.1871.3.931,4,aflc,AFSFN Laverne Clinic
2.16.840.1.113883.3.1871.3.932,4,afbhc,AFSFN Buffalo Health Clinic
2.16.840.1.113883.3.1871.3.941,4,afpmc,AFSFN Purcell Medical Clinic
2.16.840.1.113883.3.1871.3.942,4,afmmc,AFSFN Maysville Medical Clinic
2.16.840.1.113883.3.1871.3.981,4,afrhc,AFSFN Ryan Health Clinic
2.16.840.1.113883.3.1871.3.982,4,afrfmc,AFSFN Ringling Family Medical Clinic
2.16.840.1.113883.3.1871.3.991,4,afnc,AFSFN Newman Clinic
2.16.840.1.113883.3.2075,3,sch,StillwaterCommunityHospital
2.16.840.1.113883.3.2076,3,ohsu,Oregon Health and Science University
2.16.840.1.113883.3.2077,3,krh,Kalispell Regional Healthcare
2.16.840.1.113883.3.2079,3,aa-00-bb,Mountain View Hospital OID for HL7 Interfacing
2.16.840.1.113883.6.311,6,multum-main-drug-code,Multum Main Drug Code
2.16.840.1.113883.6.312,6,multum-drug-synonym-id,Multum Drug Synonym Identifier
2.16.840.1.113883.6.313,6,multum-allergy-category-id,Multum Drug Allergy Category
2.16.840.1.113883.6.314,6,multum-drug-id,Multum Generic Drug Identifier
2.16.840.1.113883.17.96,17,org-pmcmt,Pioneer Medical Center
2.16.840.1.113883.4.573,4,fda,FDA Janus Clinical Trials Repository (CTR)
2.16.840.1.113883.3.1070.5044,17,mckesson-fusion-5044,mckesson-fusion-5044
2.16.840.1.113883.3.2080,3,king12,Kingwood Surgical
2.16.840.1.113883.3.2081,3,sugarland12,Sugar Land Surgical
2.16.840.1.113883.3.2082,3,tops12,TOPS Surgical
2.16.840.1.113883.3.2083,3,irvingcoppell12,Irving Coppell Surgical
2.16.840.1.113883.3.2084,3,css12,The Center for Spinal Surgery
2.16.840.1.113883.3.2085,3,northcentral12,North Central Surgical Center
2.16.840.1.113883.3.2086,3,ftw12,Fort Worth Surgical
2.16.840.1.113883.3.2087,3,ocoms12,OCOMS Surgical
2.16.840.1.113883.3.2088,3,aosh12,Arizona Orthopedic Surgical Hospital
2.16.840.1.113883.3.2089,3,tc12,Baylor Medical Center at Trophy Club
2.16.840.1.113883.3.2090,3,bosha12,Baylor Orthopedic and Spine Hospital at Arlington
2.16.840.1.113883.3.2091,3,uptown12,Baylor Medeical Center at Uptown
2.16.840.1.113883.3.1070.5034,17,mckesson-fusion-5034,mckesson-fusion-5034
2.16.840.1.113883.3.2092,3,ardentMcKessonClinicals,Ardent Health Services McKesson Clinicals
2.16.840.1.113883.3.1070.5040,17,mckesson-fusion-5040,mckesson-fusion-5040
2.16.840.1.113883.3.1070.5038,17,mckesson-fusion-5038,mckesson-fusion-5038
2.16.840.1.113883.3.2077.1,3,krmc,Kalispell Regional Medical Center
2.16.840.1.113883.3.2077.2,3,hcnw,Health Center Northwest
2.16.840.1.113883.3.2093,3,cocwm,Methodist Hospital
2.16.840.1.113883.3.1070.5048,17,mckesson-fusion-5048,mckesson-fusion-5048
2.16.840.1.113883.3.2094,3,cocsn,Methodist Specialty and Transplant Hospital
2.16.840.1.113883.3.2095,3,cocmt,Metropolitan Methodist Hospital
2.16.840.1.113883.3.2096,3,cocvo,Northeast Methodist Hospital
2.16.840.1.113883.3.2097,3,cocmta,Methodist Texsan Hospital
2.16.840.1.113883.3.2098,3,cocmso,Methodist Stone Oak Hospital
2.16.840.1.113883.3.1070.5049,17,mckesson-fusion-5049,mckesson-fusion-5049
2.16.840.1.113883.3.2099,3,cocay,Methodist Ambulatory Surgery Center
2.16.840.1.113883.3.2076.2,3,patient-id,Patient
2.16.840.1.113883.3.2076.2.100,3,mrn-ohsu,Medical Record Number
2.16.840.1.113883.3.2100,3,yprootoid,YRMC Prescott Root OID
2.16.840.1.113883.3.2101,3,pah,Punxsutawney Area Hospital
2.16.840.1.113883.3.2102,3,vmc,Village Medical Centers
2.16.840.1.113883.3.2103,3,iuhgh,Indiana University Health Goshen Hospital
2.16.840.1.113883.3.2104,3,iuhghp,Indiana University Health Goshen Hospital Physicians
2.16.840.1.113883.3.1070.5041,17,mckesson-fusion-5041,mckesson-fusion-5041
2.16.840.1.113883.3.1178.1.1,3,pensacola-HIE-NwHIN-Test,Strategic Health Intelligence Health Information Exchange - NwHIN - Test
2.16.840.1.113883.3.1178.2.1,3,pensacola-HIE-FHIN-Test,Strategic Health Intelligence Health Information Exchange - FHIN - Test
2.16.840.1.113883.3.1070.5042,17,mckesson-fusion-5042,mckesson-fusion-5042
2.16.840.1.113883.3.2105,3,logiPharm,Services LogiPharm
2.16.840.1.113883.3.2106,3,lanes,Los Angeles Network for Enhanced Service
2.16.840.1.113883.3.2107,3,pumpco,PumpCo Ltd
2.16.840.1.113883.3.1070.5039,17,mckesson-fusion-5039,mckesson-fusion-5039
2.16.840.1.113883.3.1070.5047,17,mckesson-fusion-5047,mckesson-fusion-5047
2.16.840.1.113883.3.2108,3,phh,Port Huron Hospital
2.16.840.1.113883.3.2109,3,bmgaw,Banner Medical Group Arizona West 
2.16.840.1.113883.3.2110,3,bmgae,Banner Medical Group Arizona East 
2.16.840.1.113883.3.2111,3,bmgwr,Banner Medical Group Western Region 
2.16.840.1.113883.3.2112,3,nmh-mi,McLaren Northern Michigan
2.16.840.1.113883.3.2113,3,ahs-hh,AHSTestHomeHealth
2.16.840.1.113883.3.1871.3.943,4,affmp,AFSFN Family Medicine of Purcell
2.16.840.1.113883.3.2114,3,vsc-oid,Vision Specialty Care 
2.16.840.1.113883.3.2115,3,ghpphms,Geisinger Health Plan Population Health
2.16.840.1.113883.3.2116,3,nydh,New York Downtown Hospital
2.16.840.1.113883.3.2117,3,pamc-los-angeles,Pacific Alliance Medical Center
2.16.840.1.113883.3.2118,3,clh,"Clinical Laboratories of Hawaii, LLP"
2.16.840.1.113883.17.97,17,org-DMHA,Daniels Memorial Hospital Association
2.16.840.1.113883.3.2119,3,mrvcms,MRVCMS
2.16.840.1.113883.3.2120,3,ccmH0sp1tal-2011,ccmH0sp1tal-2011
2.16.840.1.113883.3.2121,3,jeffersonmedical-2011,jeffersonmedical-2011
2.16.840.1.113883.3.2122,3,chmc,Centinela Hospital Medical Center
2.16.840.1.113883.3.2123,3,kmc,Kettering Medical Center
2.16.840.1.113883.3.2124,3,gmc,Grandview Medical Center
2.16.840.1.113883.3.2125,3,khnsh,Sycamore Hospital
2.16.840.1.113883.3.2126,3,khnsvh,Southview Hospital
2.16.840.1.113883.3.2127,3,gmh,Greene Memorial Hospital
2.16.840.1.113883.3.2128,3,irsmc,Indu & Raj Soin Medical Center
2.16.840.1.113883.3.2129,3,fhh,Fort Hamilton Hospital
1.2.36.1.2001.1003.0,4,hi-service,Health Identifier Service
1.2.36.1.2001.1001.100.149,4,rendering-specification,Rendering Specification
2.16.840.1.113883.3.2130,3,scptype,Hampton Regional Medical Center
655F67B1-2B11-4038-B82F-F6AB2F566F87,4,mrn-example-au,Australian Example MRN
2.16.840.1.113883.3.2131,3,sihf-Anderson-Hospital,Anderson Hospital
2.16.840.1.113883.3.2132,3,officeally-dev,Office Ally Development
2.16.840.1.113883.3.2133,3,enmmc,Eastern New Mexico Medical Center
2.16.840.1.113883.3.86.3.1,15,healthShareNoCode,HealthShare Null Codeset
2.16.840.1.113883.17.98,17,seton-health-troy-ny,Seton Health Meaningful Use Data Exchange Object
2.16.840.1.113883.17.99,17,org-BBC,Beartooth Billings Clinic
2.16.840.1.113883.3.1070.5045,17,mckesson-fusion-5045,mckesson-fusion-5045
2.16.840.1.113883.3.2134,3,masonicvillage,Masonic Villages of PA
2.16.840.1.113883.3.2135,3,enovacom,Enovacom
2.16.840.1.113883.4.574,4,demirs-oid,Polaris-Demirs
2.16.840.1.113883.3.2136,3,sfrec-hie,South Florida Regional Extension Center Health Information Exchange
2.16.840.1.113883.3.567.12.4,13,fdbDACN,fdb Drug Allergy Code New
2.16.840.1.113883.3.567.12.5,13,fdbRoutedGenID,fdb Routed Generic ID
2.16.840.1.113883.3.567.12.6,13,fdbPIFAlg,fdb PIF Primary Allergy Code Number
2.16.840.1.113883.3.2137,3,stlch,St Luke Community Hospital and Nursing Home
2.16.840.1.113883.3.2138,3,cookChildrens,Cook Children's Health Care System OID
2.16.840.1.113883.3.567.12.7,13,fdbRoutedDFMedID,fdb Routed Dosage Form Medication ID
2.16.840.1.113883.3.2137.1,3,stlchcc,St. Luke Community Healthcare Clinics
